Label,Features
n07740461,[255 255 255 ... 255 255 255]
n07740461,[228 255 245 ... 228 255 245]
n07740461,[189 189 189 ... 244 245 245]
n07740461,[ 46 147 237 ...  35  29  31]
n07740461,[255 255 255 ... 255 255 255]
n07740461,[  0  42 154 ...   1   1   1]
n07740461,[0 0 0 ... 1 1 1]
n07740461,[ 95 123 158 ...  96 140 190]
n07740461,[253 255 255 ...  15  20  18]
n07740461,[21 35 27 ... 18 38 40]
n07740461,[ 45 154 207 ...  25  32 146]
n07740461,[100 144 118 ... 146  96  37]
n07740461,[123 120 156 ... 129 127 140]
n07740461,[255 255 255 ... 255 255 255]
n07740461,[254 254 254 ... 252 252 253]
n07740461,[238 241 245 ... 146 206 231]
n07740461,[ 85  84 107 ...  92  93 178]
n07740461,[211 181 167 ... 120 142  96]
n07740461,[185 153 134 ... 162 128 105]
n07740461,[ 24  12  30 ...  36  84 210]
n07740461,[  6   8  28 ... 133 130 213]
n07740461,[202 209 212 ... 253 248 247]
n07740461,[253 253 253 ... 218 223 221]
n07740461,[68 14 19 ... 94 21 29]
n07740461,[ 36  43  13 ... 111 123 152]
n07740461,[255 255 255 ... 255 255 255]
n07740461,[255 254 254 ... 230 230 230]
n07740461,[255 253 255 ... 255 254 255]
n07740461,[255 255 255 ... 255 255 255]
n07740461,[  7   1 138 ...   1  35  40]
n07740461,[241 240 242 ...   1   1   1]
n07740461,[255 254 250 ... 255 255 255]
n07740461,[243 243 243 ... 251 249 249]
n07740461,[255 255 255 ... 255 255 255]
n07740461,[255 255 255 ... 255 255 255]
n07740461,[130 112  78 ... 157 147 120]
n07740461,[137 136 140 ...   0 178 157]
n07740461,[144 201 246 ... 142 184 198]
n07740461,[255 255 255 ... 207 219 208]
n07740461,[129  71  36 ...  54  76  76]
n07740461,[246 244 243 ... 243 245 246]
n07740461,[255 255 255 ... 255 255 255]
n07740461,[63 63 62 ... 12 21 34]
n07740461,[ 39  36  98 ...  81  80 209]
n07740461,[174 140 240 ... 143 108 219]
n07740461,[ 40  45 169 ...  25  23  77]
n07740461,[255 255 255 ... 255 255 255]
