Label,Features
n07749192,[235 235 235 ...   5   5   5]
n07749192,[ 16  20  47 ...  38  35 104]
n07749192,[175 114  83 ...  96 102  92]
n07749192,[110 160 190 ...  76 122 156]
n07749192,[251 251 251 ... 251 251 251]
n07749192,[  1 102 254 ...   1  64 200]
n07749192,[107 110  88 ...  39  34  97]
n07749192,[14 28 35 ... 21 28 35]
n07749192,[196 182 170 ... 183 178 179]
n07749192,[ 33 103 126 ...  96 142 177]
n07749192,[219 195 205 ... 237 212 227]
n07749192,[ 0  0  0 ... 48 48 48]
n07749192,[ 0  6 19 ...  1  1 25]
n07749192,[ 2  3 17 ...  3 12 26]
n07749192,[  1  10  25 ...  54  97 144]
n07749192,[23 52 38 ... 31 53 45]
n07749192,[ 11  55  25 ...  34 103  67]
n07749192,[ 42  65  82 ...  46  87 110]
n07749192,[ 34  70 114 ... 132 139 152]
n07749192,[190 190 190 ... 160 162 162]
n07749192,[ 11  97 150 ...  79  89 106]
n07749192,[246 236 229 ...  17  30  28]
n07749192,[  3 104 156 ...  20  99 153]
n07749192,[149 144 117 ...  66 116 203]
n07749192,[  0   9  47 ... 115  50  21]
n07749192,[107 138 147 ...  21  49  71]
n07749192,[ 14  21  36 ... 104 115 129]
n07749192,[ 5  6  6 ... 13 16 15]
n07749192,[0 3 2 ... 4 6 5]
n07749192,[ 75 112 107 ... 102 107  96]
n07749192,[140 151 172 ... 169 193 216]
n07749192,[254 237 230 ... 247 234 238]
n07749192,[ 0  0  0 ...  7 20 22]
n07749192,[180 155 138 ... 109 107 141]
n07749192,[105 111 154 ... 122 116 101]
n07749192,[  1  38 137 ...   2  85 194]
n07749192,[100 151 188 ...  64 118 202]
n07749192,[170 191 181 ...  67  68  65]
n07749192,[ 24  43  58 ...  13  64 117]
n07749192,[ 45  36  27 ...   2  68 119]
n07749192,[ 11 115 233 ...  34 152 242]
n07749192,[1 2 2 ... 1 0 2]
n07749192,[0 0 0 ... 0 0 0]
n07749192,[16 19 27 ... 22 24 41]
n07749192,[ 93 118 154 ... 239 255 255]
n07749192,[41 40 33 ... 41 52 69]
n07749192,[102 106 111 ... 124 128 134]
n07749192,[24 56 34 ... 46 77 46]
n07749192,[16 20 26 ... 20 31 48]
n07749192,[ 49  46  62 ...  25 132 234]
n07749192,[ 16  57 108 ...   2   6  11]
n07749192,[244 244 244 ... 247 246 248]
n07749192,[195 195 195 ...  85 116 152]
n07749192,[114 193 190 ...   3 122 238]
n07749192,[ 74  47  32 ... 133 134 135]
n07749192,[198 198 180 ... 247 240 231]
n07749192,[  6   7 121 ...  43  38 171]
n07749192,[ 0 31 93 ...  3  1 72]
n07749192,[ 11  98 199 ...  16 103 169]
n07749192,[40 41 44 ... 42 48 65]
n07749192,[13 29 53 ...  7  9  9]
n07749192,[ 17  32  42 ...  91 110 139]
n07749192,[234 234 234 ... 217 229 253]
n07749192,[  1   0  82 ...   5  26 142]
n07749192,[229 214 201 ... 161 146 137]
n07749192,[176 169 166 ... 162 158 174]
n07749192,[31 50 38 ... 31 50 36]
n07749192,[ 97 102 133 ...  16  59  91]
n07749192,[  2  39 166 ...  89 139 175]
n07749192,[9 9 9 ... 8 8 8]
n07749192,[ 41 129 235 ...  30 127 241]
n07749192,[255 255 255 ... 255 255 255]
n07749192,[ 48 150 185 ...  30 108 163]
n07749192,[240 239 242 ... 227 226 230]
n07749192,[ 0  1  8 ... 50  1  0]
n07749192,[ 61 179 171 ...  48  57 180]
n07749192,[254 208 160 ...  10 142 238]
n07749192,[135 100  64 ... 137 104  69]
n07749192,[26 29 18 ... 63 57 60]
n07749192,[179 137 147 ... 157 133 137]
n07749192,[ 18  41  67 ...  22  59 100]
n07749192,[106 151 227 ...   1  21 153]
n07749192,[ 12  10   9 ... 185 195 221]
n07749192,[ 46  76 111 ... 157 149 156]
n07749192,[ 86 114 120 ... 169 167 184]
n07749192,[ 80 170 208 ...   2  47 169]
n07749192,[ 14  16  25 ...   3 150 225]
n07749192,[ 89  68  62 ... 107  45  20]
n07749192,[ 82  79 101 ...  31  36  72]
n07749192,[15 15 15 ...  8  8  8]
n07749192,[ 34 116 234 ...  21  44 118]
n07749192,[ 52 143 204 ...   1  19  78]
n07749192,[  1  79 184 ...   1 103 203]
n07749192,[177 142  99 ...  58  60  61]
n07749192,[198 198 198 ... 202 203 223]
n07749192,[147 145 141 ... 114 120 121]
n07749192,[13 27 29 ... 54 59 58]
n07749192,[196 165 127 ...  41  53  57]
n07749192,[38 37 32 ... 48 46 37]
n07749192,[  1  44 127 ... 246 255 254]
n07749192,[164 145  97 ... 201 179 164]
n07749192,[226 203 155 ... 222 201 156]
n07749192,[127 112 110 ... 162 182 208]
n07749192,[111 163 180 ...   2   1   1]
n07749192,[ 1 32 82 ...  3 33 85]
n07749192,[162 161 161 ... 145 137 130]
n07749192,[44 51 17 ...  2 30 57]
n07749192,[112  70  45 ... 246 249 240]
n07749192,[228 230 230 ...  17  40  88]
n07749192,[25 78 54 ... 27 36 27]
n07749192,[69 94 79 ...  1  3  3]
n07749192,[ 81 123 168 ...  16  34  14]
n07749192,[38 64 57 ... 39 61 52]
n07749192,[ 66  85 109 ...  40  74 146]
n07749192,[ 33  96 142 ... 195 155 146]
n07749192,[ 49  41  42 ... 170 193 198]
n07749192,[196 198 214 ...  31  30  86]
n07749192,[187 172 193 ... 183 167 206]
