Label,Features
0,[255 255 255 ... 255 255 255]
100,[255 255 255 ... 255 255 255]
101,[255 255 255 ... 255 255 255]
102,[255 255 255 ... 255 255 255]
103,[255 255 255 ... 255 255 255]
104,[255 255 255 ... 255 255 255]
105,[255 255 255 ... 255 255 255]
106,[255 255 255 ... 255 255 255]
107,[255 255 255 ... 255 255 255]
108,[255 255 255 ... 255 255 255]
109,[255 255 255 ... 255 255 255]
10,[255 255 255 ... 255 255 255]
110,[255 255 255 ... 255 255 255]
111,[255 255 255 ... 255 255 255]
112,[255 255 255 ... 255 255 255]
113,[255 255 255 ... 255 255 255]
114,[255 255 255 ... 255 255 255]
115,[255 255 255 ... 255 255 255]
116,[255 255 255 ... 255 255 255]
117,[255 255 255 ... 255 255 255]
118,[255 255 255 ... 255 255 255]
119,[255 255 255 ... 255 255 255]
11,[255 255 255 ... 255 255 255]
120,[255 255 255 ... 255 255 255]
121,[255 255 255 ... 255 255 255]
122,[255 255 255 ... 255 255 255]
123,[255 255 255 ... 255 255 255]
124,[255 255 255 ... 255 255 255]
127,[255 255 255 ... 255 255 255]
128,[255 255 255 ... 255 255 255]
12,[255 255 255 ... 255 255 255]
13,[255 255 255 ... 255 255 255]
140,[255 255 255 ... 255 255 255]
141,[255 255 255 ... 255 255 255]
145,[255 255 255 ... 255 255 255]
147,[255 255 255 ... 255 255 255]
149,[255 255 255 ... 255 255 255]
14,[255 255 255 ... 255 255 255]
154,[255 255 255 ... 255 255 255]
155,[255 255 255 ... 255 255 255]
156,[255 255 255 ... 255 255 255]
157,[255 255 255 ... 255 255 255]
158,[255 255 255 ... 255 255 255]
159,[255 255 255 ... 255 255 255]
15,[255 255 255 ... 255 255 255]
160,[255 255 255 ... 255 255 255]
161,[255 255 255 ... 255 255 255]
162,[255 255 255 ... 255 255 255]
163,[255 255 255 ... 255 255 255]
164,[255 255 255 ... 255 255 255]
165,[255 255 255 ... 255 255 255]
166,[255 255 255 ... 255 255 255]
167,[255 255 255 ... 255 255 255]
168,[255 255 255 ... 255 255 255]
169,[255 255 255 ... 255 255 255]
16,[255 255 255 ... 255 255 255]
170,[255 255 255 ... 255 255 255]
171,[255 255 255 ... 255 255 255]
172,[255 255 255 ... 255 255 255]
173,[255 255 255 ... 255 255 255]
174,[255 255 255 ... 255 255 255]
175,[255 255 255 ... 255 255 255]
177,[255 255 255 ... 255 255 255]
179,[255 255 255 ... 255 255 255]
17,[255 255 255 ... 255 255 255]
180,[255 255 255 ... 255 255 255]
